image,name,yelpLink,reviewCount,dollarAmount,foodType,neighborhood,address,city,phone,rating
https://s3-media2.fl.yelpcdn.com/bphoto/FiX_F1HoNZ1zev84U8-bXg/90s.jpg,Domino's Pizza,https://www.yelp.com/biz/dominos-pizza-charleston-9?osq=Restaurants,16,,Pizza,Ansonborough,320 E Bay St,"Charleston, SC 29401",(843) 720-8600,2.5
https://s3-media1.fl.yelpcdn.com/bphoto/KT9nhxRjQDJaeSJ8grXxTw/90s.jpg,Market Street Saloon,https://www.yelp.com/biz/market-street-saloon-charleston-3?osq=Restaurants,33,$$,Barbeque,Ansonborough,32-D N Market St,"Charleston, SC 29401",(843) 577-2474,2.5
https://s3-media3.fl.yelpcdn.com/bphoto/zo2NaJIP1h2TlisWBr8Usg/90s.jpg,Maison Cafe,https://www.yelp.com/biz/maison-cafe-charleston?osq=Restaurants,10,$,Desserts,Ansonborough,55 Wentworth St,"Charleston, SC 29401",(843) 724-4128,3
https://s3-media3.fl.yelpcdn.com/bphoto/IDmgAU-XvrBbvGSY05d6QQ/90s.jpg,Jestine's Kitchen,https://www.yelp.com/biz/jestines-kitchen-charleston-4?osq=Restaurants,24,$$,Southern,Ansonborough,251 Meeting St,"Charleston, SC 29401",(843) 722-7224,3.5
https://s3-media2.fl.yelpcdn.com/bphoto/8DBnUCvkD6s49U-Mo2Ls6Q/90s.jpg,Chopsticks,https://www.yelp.com/biz/chopsticks-charleston?osq=Restaurants,52,$,Chinese,Ansonborough,86 Society St,"Charleston, SC 29401",(843) 965-5866,3.5
https://s3-media3.fl.yelpcdn.com/bphoto/MAdSy6QXT66jDlXBdW-QOQ/90s.jpg,Pizzeria Di Giovanni,https://www.yelp.com/biz/pizzeria-di-giovanni-charleston?osq=Restaurants,65,$,Pizza,Ansonborough,40 N Market St,"Charleston, SC 29401",(843) 727-6767,3.5
https://s3-media3.fl.yelpcdn.com/bphoto/aDNGWvhJLd9kRG8QUahO1Q/90s.jpg,East Bay Deli,https://www.yelp.com/biz/east-bay-deli-charleston?osq=Restaurants,110,$,Delis,Ansonborough,334 E Bay St,"Charleston, SC 29401",(843) 723-1234,3.5
https://s3-media4.fl.yelpcdn.com/bphoto/O6Y1UjBYlzX7fF77P1E-Ug/90s.jpg,Saffron Cafe & Bakery,https://www.yelp.com/biz/saffron-cafe-and-bakery-charleston-3?osq=Restaurants,118,$$,Bakeries,Ansonborough,333 E Bay St,"Charleston, SC 29401",(843) 722-5588,3.5
https://s3-media2.fl.yelpcdn.com/bphoto/kolvvKrXgf1VpJtV5or3zg/90s.jpg,Muse Restaurant & Wine Bar,https://www.yelp.com/biz/muse-restaurant-and-wine-bar-charleston?osq=Restaurants,131,$$,American,Ansonborough,82 Society St,"Charleston, SC 29401",(843) 577-1102,3.5
https://s3-media4.fl.yelpcdn.com/bphoto/3pIEWAsWAHzvi-4G8g5ILA/90s.jpg,Queology Charleston BBQ Team,https://www.yelp.com/biz/queology-charleston-bbq-team-charleston?osq=Restaurants,141,$$,Barbeque,Ansonborough,32 C N Market St,"Charleston, SC 29401",(843) 580-2244,3.5
